# zspec, RA, DEC, mu, mg, mr, mi, mz, logExp, logDev, pz_zebra, pz_NN, pz_NN_Err
3.173999999999999738e-02 3.800741000000000014e+01 7.944600000000000550e-01 2.198600000000000065e+01 2.042200000000000060e+01 1.973000000000000043e+01 1.945299999999999940e+01 1.941499999999999915e+01 5.400000000000000000e+01 1.750000000000000000e+02 1.824999999999999956e-01 1.595000000000000029e-01 6.029000000000000331e-02
3.305999999999999911e-02 3.523073800000000233e+02 6.822000000000000286e-02 1.992800000000000082e+01 1.904400000000000048e+01 1.885200000000000031e+01 1.870100000000000051e+01 1.868400000000000105e+01 3.700000000000000000e+02 8.888000000000000000e+03 5.000000000000000278e-02 3.290299999999999891e-01 4.657000000000000028e-02
3.599999999999999728e-02 2.142809300000000121e+02 5.241120000000000090e+01 2.039399999999999835e+01 1.936599999999999966e+01 1.901899999999999835e+01 1.879700000000000060e+01 1.867200000000000060e+01 1.283000000000000000e+03 5.390000000000000000e+02 7.499999999999999722e-03 8.938000000000000111e-02 3.402000000000000163e-02
3.717999999999999777e-02 3.769892000000000110e+01 6.492400000000000393e-01 2.208800000000000097e+01 2.177499999999999858e+01 2.123100000000000165e+01 2.054700000000000060e+01 2.072200000000000131e+01 4.700000000000000000e+01 4.000000000000000000e+01 6.149999999999999911e-01 3.106499999999999817e-01 1.100499999999999950e-01
3.898000000000000076e-02 3.520021399999999971e+02 4.060000000000000241e-03 -5.889999999999999680e-01 2.328500000000000014e+01 2.167899999999999849e+01 2.079799999999999827e+01 2.030499999999999972e+01 3.700000000000000000e+01 6.000000000000000000e+01 5.400000000000000355e-01 6.371299999999999741e-01 8.835999999999999410e-02
4.009999999999999676e-02 3.716792000000000229e+01 6.801000000000000378e-01 2.107999999999999829e+01 2.009400000000000119e+01 1.975400000000000134e+01 1.960099999999999909e+01 1.957400000000000162e+01 1.600000000000000000e+02 3.430000000000000000e+02 3.250000000000000111e-02 8.069999999999999396e-02 3.785999999999999782e-02
4.023999999999999799e-02 3.516283799999999928e+02 7.660000000000000142e-03 2.253600000000000136e+01 2.283500000000000085e+01 2.156299999999999883e+01 2.125700000000000145e+01 2.084600000000000009e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.525000000000000133e-01 4.877000000000000224e-01 6.909999999999999476e-02
4.100000000000000172e-02 3.738766999999999996e+01 4.168600000000000083e-01 2.271699999999999875e+01 2.074800000000000111e+01 2.039399999999999835e+01 2.024699999999999989e+01 2.065700000000000003e+01 6.000000000000000000e+00 4.000000000000000000e+00 3.500000000000000333e-02 1.930600000000000094e-01 7.858999999999999320e-02
4.399999999999999745e-02 2.142187299999999937e+02 5.258088999999999658e+01 2.236799999999999855e+01 2.139499999999999957e+01 2.112999999999999901e+01 2.098100000000000165e+01 2.044300000000000139e+01 1.900000000000000000e+01 5.000000000000000000e+01 3.250000000000000111e-02 5.080999999999999961e-01 2.196799999999999864e-01
4.399999999999999745e-02 2.147474699999999928e+02 5.265729000000000326e+01 2.273600000000000065e+01 2.121999999999999886e+01 2.092099999999999937e+01 2.071399999999999864e+01 2.079799999999999827e+01 9.800000000000000000e+01 8.100000000000000000e+01 4.250000000000000305e-02 1.509999999999999953e-01 6.212999999999999773e-02
4.417999999999999705e-02 3.525673499999999763e+02 3.119999999999999996e-01 -1.270000000000000018e-01 2.117399999999999949e+01 2.101899999999999835e+01 2.088599999999999923e+01 2.092599999999999838e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.750000000000000444e-02 2.953700000000000214e-01 1.285699999999999898e-01
4.419000000000000011e-02 3.517741599999999949e+02 7.989000000000000268e-02 2.145599999999999952e+01 2.055399999999999849e+01 1.984900000000000020e+01 1.956700000000000017e+01 1.940700000000000003e+01 1.000000000000000000e+00 1.098000000000000000e+03 2.074999999999999900e-01 2.434300000000000075e-01 4.286000000000000226e-02
4.499999999999999833e-02 2.149108799999999917e+02 5.282916999999999774e+01 2.182999999999999829e+01 2.075300000000000011e+01 2.034700000000000131e+01 2.017500000000000071e+01 1.994500000000000028e+01 9.000000000000000000e+00 8.000000000000000000e+00 3.749999999999999861e-02 1.477199999999999902e-01 7.147000000000000575e-02
4.567999999999999838e-02 3.524764099999999871e+02 6.474000000000000588e-02 2.070700000000000074e+01 1.964999999999999858e+01 1.949599999999999866e+01 1.934799999999999898e+01 1.939900000000000091e+01 3.200000000000000000e+01 1.311000000000000000e+03 5.000000000000000278e-02 1.429300000000000015e-01 9.185999999999999721e-02
4.599999999999999922e-02 2.144935399999999959e+02 5.267249000000000336e+01 2.220200000000000173e+01 2.094300000000000139e+01 2.073300000000000054e+01 2.061799999999999855e+01 2.061100000000000065e+01 1.300000000000000000e+01 2.100000000000000000e+01 4.000000000000000083e-02 1.391300000000000037e-01 1.120600000000000068e-01
4.599999999999999922e-02 3.525673499999999763e+02 3.119999999999999996e-01 -1.270000000000000018e-01 2.117399999999999949e+01 2.101899999999999835e+01 2.088599999999999923e+01 2.092599999999999838e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.750000000000000444e-02 2.953700000000000214e-01 1.285699999999999898e-01
4.599999999999999922e-02 3.773308000000000106e+01 7.831599999999999673e-01 2.552299999999999969e+01 2.176000000000000156e+01 2.134400000000000119e+01 2.122500000000000142e+01 2.132900000000000063e+01 9.500000000000000000e+01 1.120000000000000000e+02 3.500000000000000333e-02 2.916900000000000048e-01 1.006399999999999934e-01
4.599999999999999922e-02 3.524764099999999871e+02 6.474000000000000588e-02 2.070700000000000074e+01 1.964999999999999858e+01 1.949599999999999866e+01 1.934799999999999898e+01 1.939900000000000091e+01 3.200000000000000000e+01 1.311000000000000000e+03 5.000000000000000278e-02 1.429300000000000015e-01 9.185999999999999721e-02
4.678999999999999826e-02 3.730395999999999646e+01 5.002999999999999670e-01 2.245400000000000063e+01 2.169900000000000162e+01 2.098900000000000077e+01 2.076200000000000045e+01 2.165200000000000102e+01 2.000000000000000000e+00 4.000000000000000000e+00 2.349999999999999867e-01 5.857999999999999874e-01 8.985999999999999543e-02
4.905000000000000332e-02 3.711030000000000229e+01 7.611599999999999477e-01 2.250000000000000000e+01 2.154799999999999827e+01 2.114099999999999824e+01 2.089300000000000068e+01 2.100400000000000134e+01 1.100000000000000000e+01 6.000000000000000000e+00 5.249999999999999806e-02 4.129200000000000093e-01 1.072300000000000059e-01
5.424999999999999961e-02 3.759022000000000219e+01 4.668300000000000227e-01 2.235999999999999943e+01 2.144000000000000128e+01 2.123999999999999844e+01 2.104899999999999949e+01 2.106099999999999994e+01 3.800000000000000000e+01 3.300000000000000000e+01 3.500000000000000333e-02 2.091200000000000003e-01 9.858999999999999708e-02
5.451000000000000290e-02 3.519883100000000127e+02 1.091300000000000048e-01 2.288500000000000156e+01 2.199800000000000111e+01 2.120700000000000074e+01 2.105099999999999838e+01 2.035900000000000176e+01 1.010000000000000000e+02 1.290000000000000000e+02 2.675000000000000155e-01 3.820799999999999752e-01 1.045399999999999940e-01
5.500000000000000028e-02 3.669140000000000157e+01 3.932499999999999885e-01 2.411899999999999977e+01 2.197200000000000131e+01 2.130300000000000082e+01 2.105300000000000082e+01 2.481400000000000006e+01 2.000000000000000000e+00 2.000000000000000000e+00 1.774999999999999911e-01 3.277800000000000158e-01 1.047799999999999981e-01
5.600000000000000117e-02 3.340468799999999874e+02 1.012469999999999981e+00 2.176500000000000057e+01 2.062800000000000011e+01 2.020200000000000173e+01 1.989499999999999957e+01 1.997100000000000009e+01 2.090000000000000000e+02 1.330000000000000000e+02 1.000000000000000056e-01 2.291400000000000103e-01 6.759999999999999343e-02
5.618000000000000077e-02 3.515610399999999913e+02 2.640799999999999814e-01 1.958299999999999841e+01 1.839199999999999946e+01 1.788599999999999923e+01 1.762300000000000111e+01 1.746399999999999864e+01 9.999000000000000000e+03 1.911000000000000000e+03 1.024999999999999939e-01 1.223000000000000059e-01 2.616999999999999882e-02
5.700000000000000205e-02 3.353634500000000003e+02 2.732800000000000229e-01 2.220700000000000074e+01 2.098999999999999844e+01 2.060000000000000142e+01 2.033699999999999974e+01 1.999399999999999977e+01 5.000000000000000000e+00 3.200000000000000000e+01 4.499999999999999833e-02 1.403200000000000003e-01 7.041000000000000036e-02
5.718999999999999778e-02 3.514751999999999725e+02 1.789000000000000035e-01 2.060000000000000142e+01 1.927700000000000102e+01 1.886899999999999977e+01 1.858999999999999986e+01 1.868900000000000006e+01 6.800000000000000000e+01 4.127000000000000000e+03 5.999999999999999778e-02 1.264699999999999991e-01 3.926000000000000323e-02
5.800000000000000294e-02 3.351665499999999724e+02 1.054500000000000021e-01 2.166499999999999915e+01 2.120799999999999841e+01 2.097400000000000020e+01 2.077700000000000102e+01 1.998300000000000054e+01 2.200000000000000000e+01 1.800000000000000000e+01 1.237500000000000044e+00 1.140999999999999931e-01 6.436000000000000054e-02
5.981999999999999817e-02 3.534695100000000139e+02 7.100000000000000408e-03 2.277799999999999869e+01 2.148999999999999844e+01 2.121699999999999875e+01 2.094000000000000128e+01 2.090500000000000114e+01 3.000000000000000000e+01 4.200000000000000000e+01 5.000000000000000278e-02 2.683900000000000174e-01 1.264099999999999946e-01
5.988999999999999879e-02 3.724750999999999834e+01 6.899199999999999777e-01 2.216000000000000014e+01 2.084199999999999875e+01 2.078200000000000003e+01 2.057300000000000040e+01 2.051699999999999946e+01 5.100000000000000000e+01 2.180000000000000000e+02 4.000000000000000083e-02 2.472699999999999898e-01 1.749499999999999944e-01
5.999999999999999778e-02 3.724750999999999834e+01 6.899199999999999777e-01 2.216000000000000014e+01 2.084199999999999875e+01 2.078200000000000003e+01 2.057300000000000040e+01 2.051699999999999946e+01 5.100000000000000000e+01 2.180000000000000000e+02 4.000000000000000083e-02 2.472699999999999898e-01 1.749499999999999944e-01
6.108999999999999847e-02 3.531761500000000069e+02 -5.192999999999999700e-02 -8.750000000000000000e-01 2.207000000000000028e+01 2.099399999999999977e+01 2.079400000000000048e+01 2.017500000000000071e+01 2.700000000000000000e+01 2.100000000000000000e+01 1.925000000000000044e-01 5.036100000000000021e-01 8.816000000000000225e-02
6.140999999999999931e-02 3.515678800000000024e+02 3.094899999999999873e-01 2.197800000000000153e+01 2.092500000000000071e+01 2.017299999999999827e+01 1.987800000000000011e+01 1.980399999999999849e+01 3.100000000000000000e+01 1.190000000000000000e+02 2.200000000000000011e-01 2.509199999999999764e-01 6.244999999999999857e-02
6.199999999999999956e-02 3.354057399999999802e+02 -4.150200000000000000e-01 2.064199999999999946e+01 1.978699999999999903e+01 1.954700000000000060e+01 1.934799999999999898e+01 1.933500000000000085e+01 5.520000000000000000e+02 2.130000000000000000e+02 3.749999999999999861e-02 1.405899999999999928e-01 5.838999999999999746e-02
6.282999999999999696e-02 3.515943399999999883e+02 5.161999999999999922e-02 2.133599999999999852e+01 2.050499999999999901e+01 1.987399999999999878e+01 1.974899999999999878e+01 1.945299999999999940e+01 7.800000000000000000e+01 3.020000000000000000e+02 2.449999999999999956e-01 1.960199999999999998e-01 1.041799999999999948e-01
6.354999999999999538e-02 3.516619200000000092e+02 1.756999999999999951e-01 1.998799999999999955e+01 1.831800000000000139e+01 1.751899999999999835e+01 1.715700000000000003e+01 1.687300000000000111e+01 9.999000000000000000e+03 3.420000000000000000e+02 5.000000000000000278e-02 7.502999999999999947e-02 1.765999999999999862e-02
6.381000000000000560e-02 3.514274500000000216e+02 4.515999999999999875e-02 2.191300000000000026e+01 2.082999999999999829e+01 2.040299999999999869e+01 2.022599999999999909e+01 1.998499999999999943e+01 3.000000000000000000e+00 8.800000000000000000e+01 3.749999999999999861e-02 1.498099999999999987e-01 7.371999999999999387e-02
6.399000000000000521e-02 2.143742699999999957e+02 5.267182999999999993e+01 2.046199999999999974e+01 1.924200000000000088e+01 1.871900000000000119e+01 1.836899999999999977e+01 1.826800000000000068e+01 7.200000000000000000e+01 4.492000000000000000e+03 1.024999999999999939e-01 1.178499999999999964e-01 2.743999999999999911e-02
6.440999999999999504e-02 3.524942899999999781e+02 1.331700000000000106e-01 1.995499999999999829e+01 1.897500000000000142e+01 1.855199999999999960e+01 1.832000000000000028e+01 1.818199999999999861e+01 6.550000000000000000e+02 5.967000000000000000e+03 8.500000000000000611e-02 1.089999999999999997e-01 3.066999999999999935e-02
6.465999999999999526e-02 3.518396500000000060e+02 3.064100000000000157e-01 2.062199999999999989e+01 1.957799999999999940e+01 1.930799999999999983e+01 1.914000000000000057e+01 1.910600000000000165e+01 4.490000000000000000e+02 6.890000000000000000e+02 3.500000000000000333e-02 7.435999999999999555e-02 4.036000000000000004e-02
6.500000000000000222e-02 2.145966699999999889e+02 5.268692000000000064e+01 2.334900000000000020e+01 2.138200000000000145e+01 2.096399999999999864e+01 2.076899999999999835e+01 2.097200000000000131e+01 4.300000000000000000e+01 1.560000000000000000e+02 5.249999999999999806e-02 1.816300000000000137e-01 1.014000000000000040e-01
6.500000000000000222e-02 2.145651499999999885e+02 5.277165000000000106e+01 2.137600000000000122e+01 1.974699999999999989e+01 1.920299999999999940e+01 1.886400000000000077e+01 1.865700000000000003e+01 1.040000000000000000e+02 2.383000000000000000e+03 9.750000000000000333e-02 1.118399999999999950e-01 4.093999999999999723e-02
6.525000000000000244e-02 2.144145300000000134e+02 5.270734999999999815e+01 2.186799999999999855e+01 2.049699999999999989e+01 1.976000000000000156e+01 1.947500000000000142e+01 1.906700000000000017e+01 7.900000000000000000e+01 5.080000000000000000e+02 1.799999999999999933e-01 2.320299999999999863e-01 7.130000000000000226e-02
6.574000000000000676e-02 2.145772599999999954e+02 5.271603999999999957e+01 2.323600000000000065e+01 2.160999999999999943e+01 2.072899999999999920e+01 2.046799999999999997e+01 2.026899999999999835e+01 1.800000000000000000e+01 4.300000000000000000e+01 2.550000000000000044e-01 3.396100000000000230e-01 1.072800000000000004e-01
6.597000000000000086e-02 3.519479699999999980e+02 1.710099999999999953e-01 2.025100000000000122e+01 1.930199999999999960e+01 1.890099999999999980e+01 1.864399999999999835e+01 1.854899999999999949e+01 2.008000000000000000e+03 2.994000000000000000e+03 9.500000000000000111e-02 1.124499999999999944e-01 3.122000000000000122e-02
6.600000000000000311e-02 2.142559699999999907e+02 5.260023000000000337e+01 1.992399999999999949e+01 1.895299999999999940e+01 1.869000000000000128e+01 1.853600000000000136e+01 1.854700000000000060e+01 4.920000000000000000e+02 5.500000000000000000e+01 4.250000000000000305e-02 6.331000000000000516e-02 3.735999999999999738e-02
6.600000000000000311e-02 2.146470799999999883e+02 5.287617999999999796e+01 2.179100000000000037e+01 2.072500000000000142e+01 2.007799999999999940e+01 1.974800000000000111e+01 1.941600000000000037e+01 1.100000000000000000e+01 2.590000000000000000e+02 1.600000000000000033e-01 2.209200000000000053e-01 7.384999999999999898e-02
6.600000000000000311e-02 2.144608499999999935e+02 5.246287000000000234e+01 2.339699999999999847e+01 2.188100000000000023e+01 2.164099999999999824e+01 2.135900000000000176e+01 2.138100000000000023e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.750000000000000056e-02 4.965499999999999914e-01 8.276999999999999635e-02
6.646000000000000518e-02 2.143878100000000018e+02 5.247373999999999938e+01 2.343599999999999994e+01 2.206700000000000017e+01 2.153500000000000014e+01 2.108699999999999974e+01 2.112999999999999901e+01 8.000000000000000000e+00 1.900000000000000000e+01 1.449999999999999900e-01 2.873299999999999743e-01 9.024999999999999689e-02
6.660000000000000642e-02 3.735186000000000206e+01 6.993099999999999872e-01 2.194900000000000162e+01 2.063100000000000023e+01 2.045700000000000074e+01 2.049299999999999855e+01 1.988400000000000034e+01 1.000000000000000000e+00 2.000000000000000000e+01 2.500000000000000139e-02 1.254599999999999882e-01 4.138000000000000012e-02
6.679000000000000214e-02 2.145282400000000109e+02 5.276044000000000267e+01 2.142299999999999827e+01 1.987900000000000134e+01 1.909400000000000119e+01 1.878600000000000136e+01 1.851999999999999957e+01 2.910000000000000000e+02 7.000000000000000000e+00 2.025000000000000133e-01 1.623499999999999943e-01 5.578000000000000319e-02
6.700000000000000400e-02 2.143185200000000066e+02 5.263933999999999713e+01 2.123600000000000065e+01 2.004799999999999827e+01 1.939900000000000091e+01 1.898999999999999844e+01 1.884400000000000119e+01 2.000000000000000000e+00 1.370000000000000000e+02 5.000000000000000278e-02 1.537000000000000033e-01 3.776000000000000190e-02
6.700000000000000400e-02 2.145323999999999955e+02 5.273998000000000275e+01 2.149200000000000088e+01 2.001099999999999923e+01 1.940200000000000102e+01 1.905300000000000082e+01 1.886199999999999832e+01 1.180000000000000000e+02 1.163000000000000000e+03 1.275000000000000022e-01 1.289500000000000091e-01 4.286000000000000226e-02
6.700000000000000400e-02 3.348734400000000164e+02 8.783499999999999641e-01 2.058099999999999952e+01 1.934499999999999886e+01 1.892999999999999972e+01 1.869900000000000162e+01 1.861100000000000065e+01 0.000000000000000000e+00 3.195000000000000000e+03 5.249999999999999806e-02 1.209199999999999997e-01 3.015999999999999931e-02
6.700000000000000400e-02 2.144361800000000073e+02 5.268005000000000138e+01 2.273600000000000065e+01 2.097800000000000153e+01 2.011899999999999977e+01 1.974399999999999977e+01 1.963100000000000023e+01 9.000000000000000000e+00 2.770000000000000000e+02 5.000000000000000278e-02 2.542599999999999860e-01 9.837999999999999523e-02
6.765000000000000180e-02 3.529400999999999726e+02 2.601800000000000224e-01 2.004100000000000037e+01 1.902100000000000080e+01 1.876899999999999835e+01 1.855499999999999972e+01 1.842399999999999949e+01 8.970000000000000000e+02 2.030000000000000000e+02 4.750000000000000056e-02 6.388000000000000622e-02 2.463999999999999871e-02
6.776999999999999691e-02 3.516699699999999780e+02 2.336799999999999988e-01 2.253500000000000014e+01 2.090500000000000114e+01 2.077100000000000080e+01 2.063800000000000168e+01 2.007199999999999918e+01 1.890000000000000000e+02 6.900000000000000000e+01 3.500000000000000333e-02 1.276100000000000012e-01 1.718999999999999972e-01
6.776999999999999691e-02 3.515634699999999953e+02 -4.846000000000000307e-02 1.979400000000000048e+01 1.846799999999999997e+01 1.788299999999999912e+01 1.750199999999999889e+01 1.725700000000000145e+01 4.593000000000000000e+03 9.999000000000000000e+03 1.125000000000000028e-01 7.673000000000000653e-02 2.440000000000000155e-02
6.800000000000000488e-02 3.530380000000000109e+02 3.449999999999999734e-01 2.233299999999999841e+01 2.074299999999999855e+01 2.028500000000000014e+01 2.023499999999999943e+01 1.952599999999999980e+01 1.000000000000000000e+00 3.390000000000000000e+02 2.500000000000000139e-02 1.974100000000000021e-01 9.460999999999999965e-02
6.938999999999999335e-02 3.713206000000000273e+01 6.979499999999999593e-01 2.350600000000000023e+01 2.199299999999999855e+01 2.138200000000000145e+01 2.107900000000000063e+01 2.141100000000000136e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.549999999999999989e-01 3.141499999999999848e-01 8.966000000000000358e-02
6.984999999999999543e-02 3.749085000000000178e+01 7.003700000000000481e-01 2.563200000000000145e+01 2.163800000000000168e+01 2.112699999999999889e+01 2.096099999999999852e+01 2.063700000000000045e+01 2.070000000000000000e+02 2.970000000000000000e+02 8.500000000000000611e-02 4.490600000000000147e-01 9.808000000000000052e-02
7.000000000000000666e-02 3.530842599999999720e+02 -9.811999999999999889e-02 2.364000000000000057e+01 2.087300000000000111e+01 2.058099999999999952e+01 2.063700000000000045e+01 2.087900000000000134e+01 4.200000000000000000e+01 6.300000000000000000e+01 2.500000000000000139e-02 3.280000000000000276e-02 5.532000000000000112e-02
7.026999999999999913e-02 3.525853200000000243e+02 -3.234000000000000069e-02 2.269300000000000139e+01 2.186599999999999966e+01 2.120700000000000074e+01 2.103200000000000003e+01 2.066100000000000136e+01 8.000000000000000000e+00 3.000000000000000000e+00 2.550000000000000044e-01 3.474599999999999911e-01 8.938000000000000111e-02
7.069000000000000283e-02 3.761742000000000274e+01 4.423300000000000010e-01 2.040599999999999881e+01 1.936499999999999844e+01 1.890899999999999892e+01 1.871000000000000085e+01 1.866499999999999915e+01 4.000000000000000000e+01 2.273000000000000000e+03 7.749999999999999944e-02 8.222000000000000142e-02 3.806999999999999967e-02
7.123000000000000165e-02 3.529530500000000188e+02 -8.065999999999999559e-02 2.186499999999999844e+01 2.084100000000000108e+01 2.052499999999999858e+01 2.025499999999999901e+01 2.023900000000000077e+01 2.600000000000000000e+01 1.180000000000000000e+02 4.750000000000000056e-02 1.903799999999999937e-01 6.357000000000000151e-02
7.124999999999999389e-02 3.752853999999999957e+01 7.005099999999999660e-01 2.176300000000000168e+01 2.085399999999999920e+01 2.047500000000000142e+01 2.029500000000000171e+01 2.018299999999999983e+01 0.000000000000000000e+00 6.000000000000000000e+00 3.500000000000000333e-02 1.109499999999999931e-01 5.020000000000000157e-02
7.177999999999999658e-02 3.675431999999999988e+01 5.147599999999999953e-01 2.247400000000000020e+01 2.150000000000000000e+01 2.109900000000000020e+01 2.084799999999999898e+01 2.139199999999999946e+01 0.000000000000000000e+00 1.000000000000000000e+00 5.249999999999999806e-02 1.976600000000000024e-01 1.184299999999999936e-01
7.199999999999999456e-02 2.143322100000000034e+02 5.244104999999999706e+01 -1.380000000000000115e-01 2.190500000000000114e+01 2.144999999999999929e+01 2.119500000000000028e+01 2.183399999999999963e+01 2.200000000000000000e+01 3.700000000000000000e+01 8.999999999999999667e-02 2.180499999999999938e-01 1.162600000000000022e-01
7.201000000000000456e-02 3.668160999999999916e+01 5.358399999999999830e-01 2.182400000000000162e+01 2.064199999999999946e+01 2.046999999999999886e+01 2.028000000000000114e+01 1.970899999999999963e+01 4.300000000000000000e+01 2.920000000000000000e+02 4.250000000000000305e-02 2.741899999999999893e-01 1.649700000000000055e-01
7.201000000000000456e-02 3.520248399999999833e+02 3.210000000000000075e-01 2.210500000000000043e+01 2.091300000000000026e+01 2.002499999999999858e+01 1.970899999999999963e+01 1.905099999999999838e+01 6.100000000000000000e+01 4.860000000000000000e+02 2.474999999999999978e-01 3.442200000000000260e-01 1.106800000000000006e-01
7.274999999999999523e-02 3.519169099999999730e+02 1.784600000000000075e-01 2.052400000000000091e+01 1.945299999999999940e+01 1.898699999999999832e+01 1.873000000000000043e+01 1.873900000000000077e+01 6.000000000000000000e+01 3.330000000000000000e+03 9.249999999999999889e-02 1.139799999999999980e-01 4.232999999999999957e-02
7.277000000000000135e-02 3.516257699999999886e+02 1.050100000000000061e-01 2.174299999999999855e+01 2.048499999999999943e+01 2.022700000000000031e+01 1.998999999999999844e+01 1.987600000000000122e+01 6.000000000000000000e+01 3.150000000000000000e+02 4.750000000000000056e-02 8.398999999999999522e-02 4.186000000000000137e-02
7.298999999999999932e-02 3.534184900000000198e+02 -6.966999999999999582e-02 2.242899999999999849e+01 2.143499999999999872e+01 2.081599999999999895e+01 2.059600000000000009e+01 2.057400000000000162e+01 1.300000000000000000e+01 8.800000000000000000e+01 1.675000000000000100e-01 2.451500000000000068e-01 1.900199999999999945e-01
7.299999999999999545e-02 2.138781999999999925e+02 5.210652999999999935e+01 2.088700000000000045e+01 1.987199999999999989e+01 1.935099999999999909e+01 1.912199999999999989e+01 1.900400000000000134e+01 3.400000000000000000e+01 1.078000000000000000e+03 1.250000000000000000e-01 1.549099999999999921e-01 3.860000000000000236e-02
7.299999999999999545e-02 2.138095999999999890e+02 5.207847999999999900e+01 2.083899999999999864e+01 1.945599999999999952e+01 1.890700000000000003e+01 1.866100000000000136e+01 1.858800000000000097e+01 7.250000000000000000e+02 0.000000000000000000e+00 1.250000000000000000e-01 1.235300000000000009e-01 5.036000000000000199e-02
7.299999999999999545e-02 2.137580700000000036e+02 5.213727000000000089e+01 2.356299999999999883e+01 2.130600000000000094e+01 2.065500000000000114e+01 2.048199999999999932e+01 2.107300000000000040e+01 4.000000000000000000e+00 6.000000000000000000e+00 1.600000000000000033e-01 9.005000000000000504e-02 5.421000000000000124e-02
7.299999999999999545e-02 2.138246200000000101e+02 5.208744000000000085e+01 2.394600000000000151e+01 2.206299999999999883e+01 2.134299999999999997e+01 2.097200000000000131e+01 2.115500000000000114e+01 2.700000000000000000e+01 2.300000000000000000e+01 2.049999999999999878e-01 3.980199999999999849e-01 9.750000000000000333e-02
7.299999999999999545e-02 3.735186000000000206e+01 6.993099999999999872e-01 2.194900000000000162e+01 2.063100000000000023e+01 2.045700000000000074e+01 2.049299999999999855e+01 1.988400000000000034e+01 1.000000000000000000e+00 2.000000000000000000e+01 2.500000000000000139e-02 1.254599999999999882e-01 4.138000000000000012e-02
